meter_id,feeder_id,consumer_type,sanctioned_load_kw,base_daily_kwh,tariff_rate,billing_address,installation_year,lat,lon
BLR-KMG-11-0073,KMG-11,residential,3,17.82186581040922,5.5,177 Koramangala Bengaluru,2022,12.943983131999042,77.61971957795915
BLR-KMG-11-0074,KMG-11,commercial,10,37.62141955080016,7.2,105 Koramangala Bengaluru,2018,12.914546878593079,77.60701436241409
BLR-KMG-11-0075,KMG-11,residential,2,14.498750492579605,5.5,3 BTM Bengaluru,2022,12.943044833762873,77.63428324808169
BLR-KMG-11-0076,KMG-11,residential,1,6.870634599091349,5.5,1 Koramangala Bengaluru,2022,12.938246985378035,77.61314571222013
BLR-KMG-11-0077,KMG-11,residential,2,9.014278052459767,5.5,72 Indiranagar Bengaluru,2019,12.93481230803615,77.63489273566942
BLR-KMG-11-0078,KMG-11,residential,3,11.726695742842796,5.5,133 Koramangala Bengaluru,2018,12.937598235885504,77.62320183868073
BLR-KMG-11-0079,KMG-11,residential,3,12.951058997639393,5.5,75 Koramangala Bengaluru,2023,12.93869054848389,77.64321850900369
BLR-KMG-11-0080,KMG-11,residential,2,11.76741851959116,5.5,179 Indiranagar Bengaluru,2021,12.935897852275964,77.62203641789664
BLR-KMG-11-0081,KMG-11,commercial,5,92.83227312180134,7.2,81 BTM Bengaluru,2022,12.91988293923716,77.64106350500646
BLR-KMG-11-0082,KMG-11,residential,1,10.427900587335658,5.5,34 BTM Bengaluru,2019,12.9271500644115,77.62933603417267
BLR-KMG-11-0083,KMG-11,residential,1,5.80431610674909,5.5,183 Koramangala Bengaluru,2023,12.941906702947877,77.61120269089396
BLR-KMG-11-0084,KMG-11,residential,2,16.24044646796184,5.5,155 BTM Bengaluru,2019,12.938077415821638,77.61295396263625
BLR-KMG-11-0085,KMG-11,commercial,10,71.71430573792202,7.2,22 BTM Bengaluru,2023,12.918825434844024,77.6224311507213
BLR-KMG-11-0086,KMG-11,residential,2,11.047841791967997,5.5,45 Koramangala Bengaluru,2018,12.91769162344915,77.62324581576225
BLR-KMG-11-0087,KMG-11,residential,2,6.197687558026712,5.5,48 BTM Bengaluru,2018,12.925075105925888,77.63624805119171
BLR-KMG-11-0088,KMG-11,commercial,5,55.12191880040524,7.2,127 Indiranagar Bengaluru,2021,12.92875654558279,77.62250138864532
BLR-KMG-11-0089,KMG-11,commercial,5,60.29243332128249,7.2,7 Koramangala Bengaluru,2023,12.943984649280344,77.60521888610934
BLR-KMG-11-0090,KMG-11,commercial,10,77.6596599004899,7.2,192 MG Road Bengaluru,2022,12.921291355139038,77.62655860368075
BLR-KMG-11-0091,KMG-11,commercial,5,94.24026768186282,7.2,25 MG Road Bengaluru,2022,12.937743698142162,77.63116409276577
BLR-KMG-11-0092,KMG-11,commercial,10,40.430434570490846,7.2,111 Indiranagar Bengaluru,2018,12.936578341700905,77.61915090503804
BLR-KMG-11-0093,KMG-11,residential,3,12.50577311211002,5.5,187 Koramangala Bengaluru,2022,12.927213939251235,77.64134767295039
BLR-KMG-11-0094,KMG-11,residential,1,9.114995475436807,5.5,112 HSR Layout Bengaluru,2023,12.921462680962051,77.61540380674775
BLR-KMG-11-0095,KMG-11,residential,3,5.1232724392629905,5.5,31 BTM Bengaluru,2021,12.953890221390735,77.63986441051895
BLR-KMG-11-0096,KMG-11,residential,5,4.074200089566476,5.5,118 MG Road Bengaluru,2023,12.920835503495601,77.63074572879697
BLR-KMG-11-0097,KMG-11,industrial,50,771.6126894698998,6.8,179 BTM Bengaluru,2021,12.922203102405978,77.64271976266016
BLR-KMG-11-0098,KMG-11,residential,1,14.307460571778835,5.5,140 MG Road Bengaluru,2019,12.944711180057713,77.60749160718358
BLR-KMG-11-0099,KMG-11,residential,5,8.4889906902332,5.5,3 MG Road Bengaluru,2023,12.927464171127756,77.60937658707755
BLR-KMG-11-0100,KMG-11,residential,5,8.512953829646122,5.5,130 HSR Layout Bengaluru,2018,12.91955299093768,77.60410843597657
BLR-KMG-11-0101,KMG-11,residential,2,12.48542633478174,5.5,163 MG Road Bengaluru,2022,12.947224776311508,77.64260107642666
BLR-KMG-11-0102,KMG-11,residential,3,17.13676639549453,5.5,76 Koramangala Bengaluru,2020,12.951057976943588,77.63286386203005
BLR-KMG-11-0103,KMG-11,residential,3,15.591172420484886,5.5,14 HSR Layout Bengaluru,2023,12.94700530706771,77.61145619947152
BLR-KMG-11-0104,KMG-11,residential,2,16.710125826475224,5.5,89 BTM Bengaluru,2019,12.929697804296906,77.63666397757886
BLR-KMG-11-0105,KMG-11,residential,2,10.47751699937449,5.5,166 MG Road Bengaluru,2018,12.923288507805871,77.63998298293097
BLR-KMG-11-0106,KMG-11,residential,2,16.690609553503656,5.5,179 Koramangala Bengaluru,2023,12.951593284944538,77.62910832212285
BLR-KMG-11-0107,KMG-11,residential,1,15.116352649784144,5.5,157 MG Road Bengaluru,2021,12.943658436445562,77.62692603397029
BLR-KMG-11-0108,KMG-11,industrial,100,906.980461243459,6.8,155 MG Road Bengaluru,2023,12.922181783726778,77.63256256328894
BLR-KMG-11-0109,KMG-11,residential,3,5.44082443041803,5.5,141 HSR Layout Bengaluru,2022,12.919099546493278,77.61989149162241
BLR-KMG-11-0110,KMG-11,commercial,5,57.51016742791698,7.2,76 BTM Bengaluru,2019,12.91448812289272,77.62793770804821
BLR-KMG-11-0111,KMG-11,residential,3,12.386411106882571,5.5,148 Koramangala Bengaluru,2023,12.950338022453344,77.62733567179065
BLR-KMG-11-0112,KMG-11,residential,2,17.261966754565414,5.5,140 Indiranagar Bengaluru,2022,12.919564647765721,77.60803178412063
BLR-KMG-11-0113,KMG-11,residential,3,12.301480673623502,5.5,100 HSR Layout Bengaluru,2022,12.950899975247092,77.63228954537253
BLR-KMG-11-0114,KMG-11,residential,2,12.494010649359982,5.5,51 BTM Bengaluru,2023,12.95137468059076,77.64102274051626
BLR-KMG-11-0115,KMG-11,residential,1,17.787776785472683,5.5,110 HSR Layout Bengaluru,2023,12.947499631560099,77.61728585650619
BLR-KMG-11-0116,KMG-11,residential,1,12.510521513119622,5.5,175 MG Road Bengaluru,2022,12.927407889665835,77.63611413794392
BLR-KMG-11-0117,KMG-11,residential,2,9.574361710273205,5.5,25 Indiranagar Bengaluru,2020,12.950918409271939,77.62262800489275
BLR-KMG-11-0118,KMG-11,residential,5,12.21895513791194,5.5,187 HSR Layout Bengaluru,2020,12.919634280815192,77.61105547946025
BLR-KMG-11-0119,KMG-11,residential,2,16.8078426149534,5.5,177 BTM Bengaluru,2020,12.93929057151678,77.60452377826353
BLR-KMG-11-0120,KMG-11,residential,1,17.45498444457237,5.5,177 HSR Layout Bengaluru,2023,12.948425280715629,77.62540278875734
BLR-KMG-11-0121,KMG-11,residential,1,8.339116967760553,5.5,179 Koramangala Bengaluru,2020,12.927975479961972,77.62272927313765
BLR-KMG-11-0122,KMG-11,residential,2,15.71190738609266,5.5,19 Indiranagar Bengaluru,2018,12.9450211046678,77.62213155338992
BLR-KMG-11-0123,KMG-11,residential,2,9.610682852254563,5.5,166 Koramangala Bengaluru,2021,12.92127712521981,77.63847142484053
BLR-KMG-11-0124,KMG-11,industrial,25,470.74467314355377,6.8,110 Indiranagar Bengaluru,2021,12.946029990859444,77.64315725742463
BLR-KMG-11-0125,KMG-11,commercial,25,78.95813944378136,7.2,57 Koramangala Bengaluru,2020,12.934220315164241,77.627801959188
BLR-KMG-11-0126,KMG-11,residential,2,16.42444675518904,5.5,92 Indiranagar Bengaluru,2020,12.923726887639978,77.63289067727422
BLR-KMG-11-0127,KMG-11,commercial,15,77.66202355421458,7.2,165 BTM Bengaluru,2023,12.92572590921044,77.63985343274084
BLR-KMG-11-0128,KMG-11,residential,1,6.910407572044383,5.5,147 BTM Bengaluru,2020,12.937321662438787,77.6208569820237
BLR-KMG-11-0129,KMG-11,commercial,15,71.01808220374511,7.2,130 Koramangala Bengaluru,2021,12.947226180262609,77.61780768579524
BLR-KMG-11-0130,KMG-11,commercial,10,133.3281623969666,7.2,99 HSR Layout Bengaluru,2019,12.94454423176639,77.60960452703065
BLR-KMG-11-0131,KMG-11,commercial,10,137.34626722729098,7.2,128 MG Road Bengaluru,2019,12.914898772332805,77.61474709437539
BLR-KMG-11-0132,KMG-11,residential,2,7.610427596064832,5.5,22 Koramangala Bengaluru,2023,12.953376087228142,77.6250276072921
BLR-KMG-11-0133,KMG-11,residential,1,4.2574694716645345,5.5,146 BTM Bengaluru,2019,12.937060659020569,77.61496220882748
BLR-KMG-11-0134,KMG-11,residential,2,15.616385251900823,5.5,87 BTM Bengaluru,2019,12.919600741546418,77.61454735210538
BLR-KMG-11-0135,KMG-11,residential,3,7.510229247862369,5.5,53 Indiranagar Bengaluru,2022,12.947524278527132,77.62017526006196
BLR-KMG-11-0136,KMG-11,commercial,10,72.46456518734993,7.2,54 Koramangala Bengaluru,2018,12.917311946717005,77.62812608437865
BLR-KMG-11-0137,KMG-11,residential,2,8.041712314789798,5.5,164 MG Road Bengaluru,2020,12.925884868624927,77.62665618561186
BLR-KMG-11-0138,KMG-11,residential,2,17.11561635054661,5.5,69 MG Road Bengaluru,2019,12.91524732540245,77.61449056177199
BLR-KMG-11-0139,KMG-11,residential,1,10.949127460817309,5.5,109 Koramangala Bengaluru,2019,12.9389333020362,77.622969492348
BLR-KMG-11-0140,KMG-11,residential,2,9.77910970849453,5.5,61 Koramangala Bengaluru,2019,12.932387260510444,77.60703733641478
BLR-KMG-11-0141,KMG-11,residential,1,17.54779143489921,5.5,102 Indiranagar Bengaluru,2021,12.928438955877601,77.60766328293306
BLR-KMG-11-0142,KMG-11,commercial,5,144.02848245849628,7.2,55 MG Road Bengaluru,2021,12.935676037895133,77.63891783343504
BLR-KMG-11-0143,KMG-11,commercial,15,109.05400400528609,7.2,118 MG Road Bengaluru,2019,12.933576998545725,77.61284837767278
BLR-KMG-11-0144,KMG-11,industrial,200,239.4268113685059,6.8,10 MG Road Bengaluru,2019,12.936717809222104,77.64061953190351
BLR-KMG-11-0145,KMG-11,residential,2,8.162886103215712,5.5,176 Indiranagar Bengaluru,2020,12.951770659564536,77.6229685686663
BLR-KMG-11-0146,KMG-11,commercial,15,68.29205678919067,7.2,103 MG Road Bengaluru,2023,12.937850795139282,77.61320035349151
BLR-KMG-11-0147,KMG-11,residential,1,13.748042862293957,5.5,168 Indiranagar Bengaluru,2021,12.936897110377338,77.63615907917602
BLR-KMG-11-0148,KMG-11,residential,2,14.32998073669135,5.5,161 BTM Bengaluru,2019,12.949066615114496,77.62070024336111
BLR-KMG-11-0149,KMG-11,residential,5,4.003325330062384,5.5,13 BTM Bengaluru,2019,12.951562707940516,77.63595132943094
BLR-KMG-11-0150,KMG-11,industrial,25,967.1882889311269,6.8,62 BTM Bengaluru,2021,12.939100218528734,77.63894708456745
BLR-KMG-11-0151,KMG-11,industrial,100,617.7667821673338,6.8,103 HSR Layout Bengaluru,2022,12.943290872287385,77.60413385448172
BLR-KMG-11-0152,KMG-11,residential,1,15.939505503686618,5.5,146 BTM Bengaluru,2018,12.92509062582787,77.6404135640823
BLR-KMG-11-0153,KMG-11,residential,1,9.482821967564984,5.5,196 HSR Layout Bengaluru,2020,12.951998447358008,77.63545380057661
BLR-KMG-11-0154,KMG-11,residential,2,16.307656305870307,5.5,46 Koramangala Bengaluru,2023,12.938536455568428,77.61068135784367
BLR-KMG-11-0155,KMG-11,industrial,25,1142.7317741351258,6.8,63 BTM Bengaluru,2020,12.93450754044066,77.61322679246871
BLR-KMG-11-0156,KMG-11,residential,1,6.610135670019563,5.5,3 BTM Bengaluru,2022,12.939191116919845,77.61265296092145
BLR-KMG-11-0157,KMG-11,residential,2,11.350441012043754,5.5,123 Indiranagar Bengaluru,2020,12.944329539028162,77.63184082472215
BLR-KMG-11-0158,KMG-11,residential,3,7.142168005713249,5.5,120 BTM Bengaluru,2018,12.937717597393668,77.62720344831351
BLR-KMG-11-0159,KMG-11,residential,3,7.718400596241885,5.5,29 MG Road Bengaluru,2020,12.95222605992919,77.63848510469062
BLR-KMG-11-0160,KMG-11,commercial,15,96.10288447309672,7.2,187 Indiranagar Bengaluru,2021,12.928907540680491,77.6143901513504
BLR-KMG-11-0161,KMG-11,commercial,10,39.72554590891775,7.2,60 BTM Bengaluru,2021,12.91704523437961,77.63804827656195
BLR-KMG-11-0162,KMG-11,residential,2,12.293708985233247,5.5,186 Koramangala Bengaluru,2019,12.935751156319895,77.63857971521229
BLR-KMG-11-0163,KMG-11,commercial,10,134.17929648618565,7.2,92 MG Road Bengaluru,2020,12.948691768038392,77.63233451906859
BLR-KMG-11-0164,KMG-11,commercial,15,111.61689261123605,7.2,191 Koramangala Bengaluru,2023,12.9215688615914,77.63926548531082
BLR-KMG-11-0165,KMG-11,industrial,50,1079.0714802281318,6.8,170 Indiranagar Bengaluru,2020,12.923145006460997,77.64034805237077
BLR-KMG-11-0166,KMG-11,residential,2,14.592901252989085,5.5,12 Indiranagar Bengaluru,2022,12.93867707673503,77.6432474471211
BLR-KMG-11-0167,KMG-11,residential,1,12.876079843394558,5.5,88 BTM Bengaluru,2020,12.919137948723726,77.61533371793062
BLR-KMG-11-0168,KMG-11,residential,2,15.761701038377062,5.5,156 HSR Layout Bengaluru,2023,12.94414795336202,77.63555227927482
BLR-KMG-11-0169,KMG-11,residential,3,17.262170435588732,5.5,192 MG Road Bengaluru,2021,12.91669402405875,77.62728681840704
BLR-KMG-11-0170,KMG-11,residential,2,4.64038847337518,5.5,50 BTM Bengaluru,2021,12.943986073269716,77.60920344960522
BLR-KMG-11-0171,KMG-11,commercial,5,32.65482618347967,7.2,134 Koramangala Bengaluru,2020,12.94133181506426,77.62183610825507
BLR-KMG-11-0172,KMG-11,residential,5,9.966538231303621,5.5,141 MG Road Bengaluru,2022,12.941747289031259,77.61283078451154
BLR-KMG-11-0173,KMG-11,residential,2,13.163156999935893,5.5,27 Koramangala Bengaluru,2018,12.952529466137605,77.60525209254989
BLR-KMG-11-0174,KMG-11,commercial,25,132.88321105109983,7.2,84 Koramangala Bengaluru,2018,12.931691950495235,77.6164780796198
BLR-KMG-11-0175,KMG-11,residential,3,14.4417181684335,5.5,163 MG Road Bengaluru,2018,12.94259696160809,77.62651001145373
BLR-KMG-11-0176,KMG-11,residential,2,6.229440335909702,5.5,145 BTM Bengaluru,2022,12.920146321526444,77.62214774538421
BLR-KMG-11-0177,KMG-11,residential,1,15.155169590096385,5.5,172 BTM Bengaluru,2021,12.952700450544551,77.61141835498707
BLR-KMG-11-0178,KMG-11,residential,1,12.376581711713978,5.5,126 HSR Layout Bengaluru,2021,12.931212235795979,77.61202098906801
BLR-KMG-11-0179,KMG-11,residential,1,12.147599626801583,5.5,117 Indiranagar Bengaluru,2020,12.953374056296115,77.6099832257067
BLR-KMG-11-0180,KMG-11,residential,2,9.53763117431956,5.5,95 Koramangala Bengaluru,2022,12.944282370704448,77.64210594552155
BLR-KMG-12-0181,KMG-12,commercial,15,119.89939669215397,7.2,41 MG Road Bengaluru,2021,12.953466503730684,77.60969982171605
BLR-KMG-12-0182,KMG-12,residential,2,13.834509587617456,5.5,168 Indiranagar Bengaluru,2021,12.916896650885853,77.62536968823905
BLR-KMG-12-0183,KMG-12,commercial,5,128.94168562762007,7.2,154 Indiranagar Bengaluru,2023,12.936701633930461,77.63157859876549
BLR-KMG-12-0184,KMG-12,commercial,5,50.09790987108837,7.2,49 Koramangala Bengaluru,2022,12.942259029059475,77.60526344579301
BLR-KMG-12-0185,KMG-12,industrial,25,741.2963353010705,6.8,114 HSR Layout Bengaluru,2019,12.939012186408558,77.63533690903766
BLR-KMG-12-0186,KMG-12,residential,2,13.25148165618951,5.5,132 Indiranagar Bengaluru,2023,12.932092731380731,77.62974310780785
BLR-KMG-12-0187,KMG-12,residential,3,5.142819748428254,5.5,12 HSR Layout Bengaluru,2022,12.93317115714305,77.62862968087768
BLR-KMG-12-0188,KMG-12,residential,2,14.419906918329378,5.5,119 BTM Bengaluru,2020,12.920466901765872,77.60483444557165
BLR-KMG-12-0189,KMG-12,residential,2,11.594700900071146,5.5,59 Koramangala Bengaluru,2021,12.921981698037165,77.63120912969725
BLR-KMG-12-0190,KMG-12,residential,1,7.607560439156991,5.5,76 MG Road Bengaluru,2023,12.952431222059479,77.62063629464588
BLR-KMG-12-0191,KMG-12,commercial,15,118.24203583989032,7.2,126 HSR Layout Bengaluru,2021,12.915604367656499,77.63868125984489
BLR-KMG-12-0192,KMG-12,residential,2,14.15360724581191,5.5,66 Indiranagar Bengaluru,2021,12.930868837074938,77.6150731118894
BLR-KMG-12-0193,KMG-12,residential,5,6.9492706460793325,5.5,18 BTM Bengaluru,2018,12.919262707405089,77.63263299858728
BLR-KMG-12-0194,KMG-12,commercial,5,58.50519899086532,7.2,78 Indiranagar Bengaluru,2022,12.948175403734782,77.62369111425792
BLR-KMG-12-0195,KMG-12,residential,3,10.234273570037317,5.5,84 Indiranagar Bengaluru,2023,12.940084929821216,77.61648592226786
BLR-KMG-12-0196,KMG-12,residential,3,4.126425657813703,5.5,193 HSR Layout Bengaluru,2021,12.952792841803141,77.62215158165534
BLR-KMG-12-0197,KMG-12,residential,1,6.376610671225571,5.5,93 Indiranagar Bengaluru,2021,12.947155334635303,77.62123550094647
BLR-KMG-12-0198,KMG-12,residential,2,13.894881036396242,5.5,64 HSR Layout Bengaluru,2021,12.915466857077341,77.63345608060263
BLR-KMG-12-0199,KMG-12,residential,2,15.81838628556876,5.5,44 HSR Layout Bengaluru,2023,12.92223364840147,77.6084767847759
BLR-KMG-12-0200,KMG-12,residential,1,11.436373392014449,5.5,20 Indiranagar Bengaluru,2022,12.939600118673475,77.6129880470789
